SMILES,NLL
CCOC(=O)NC1CCC2C(C1)CC1C(=O)OC(C)C1C2C=Cc1ccc(-c2cccc(Cl)c2)cn1,23.57
O=C(COc1ccccc1Cl)NNC(=O)C1CCN(C(=O)c2ccco2)CC1,26.69
O=C(O)c1cc(CON=C(C2CC2)C2CC2)ccc1OC(C(=O)O)C(=O)O,33.89
CCc1ncc(C(=O)N2CC(=O)N3CCCC3C2)cn1,27.54
O=C(NCc1ccccc1)Nc1ccc(CC(Oc2ccc(-c3ccccc3)cc2)C(=O)O)cc1,28.93
CC(C)(CO)NS(=O)(=O)c1ccccc1-c1ccc(-c2ncccc2C#N)c(F)c1,29.37
N#Cc1ccccc1Cl,18.22
Cc1c(Cl)cccc1NC(=O)C(C)n1ccc(-c2ccccc2)cc1=O,27.21
C=C1CCCC(C)(C)C1=CCC(C)(O)C1CC=C(C)C2C1C2(C)C,40.7
Cc1ccc(C(=O)c2ccccc2C(=O)OCC(=O)Nc2cccc(C)c2C)cc1,25.28
COc1cnc2c(ccn2-c2cc(-c3cccnc3Oc3ccc(F)cc3)ccc2C(=O)NC(C)(CO)c2ccccc2)c1,51.21
